GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,y
346,428455,1,815,15,0,5,3,0,1,0,61,1
974,433222,2,1330,5,0,5,1,11,0,1,36,2
631,429856,2,805,19,3,5,1,0,0,1,32,2
631,429856,2,805,19,3,5,1,0,0,1,30,2
782,434277,2,1705,51,3,2,5,0,2,0,26,2
1402,436807,2,1200,51,0,5,1,0,0,0,34,2
1564,436768,3,1230,48,0,5,1,0,0,1,39,2
1564,436768,3,1230,48,0,5,1,0,0,0,69,2
1531,434572,2,1807,48,0,0,1,0,0,1,18,2
1531,434572,2,1807,48,0,0,1,0,2,0,17,1
1531,434572,2,1807,48,0,0,1,0,2,0,19,2
910,437057,2,1800,51,0,2,1,4,0,1,36,2
1069,438004,1,2120,51,3,2,1,0,1,1,50,1
40,445342,2,1115,51,0,5,1,0,0,0,67,2
91,428537,2,1048,18,3,5,1,11,0,1,82,1
443,432598,2,1130,51,0,5,1,0,0,1,72,2
443,432598,2,1130,51,0,5,1,0,2,0,71,2
1495,433058,1,1132,51,0,5,1,0,1,0,86,2
630,433453,2,1700,2,0,2,1,5,0,1,42,1
1076,429362,1,1710,51,0,2,1,5,0,1,48,2
792,437020,2,1645,5,0,2,1,0,0,1,23,2
803,436643,1,1005,5,0,5,1,15,1,1,30,2
376,435487,2,1200,51,1,5,3,0,0,0,26,2
1212,433871,1,1550,51,0,5,1,0,1,1,20,2
521,434138,2,1857,17,0,1,1,0,2,1,25,2
331,427445,2,2010,30,3,2,1,0,0,0,42,2
331,427445,2,2010,30,3,2,1,0,2,0,10,2
331,427445,2,2010,30,3,2,1,0,2,0,10,2
331,427445,2,2010,30,3,2,1,0,2,0,11,2
23,442121,2,956,51,0,5,1,11,0,1,48,2
16,445539,2,1004,25,3,5,1,11,0,1,46,2
1399,425856,2,1730,49,0,2,1,1,0,1,46,2
1399,425856,2,1730,49,0,2,1,1,2,0,32,2
927,434563,2,1100,2,0,5,1,11,0,1,51,2
1017,434499,1,2333,51,3,2,1,0,0,1,20,2
125,442334,3,847,23,3,5,5,0,0,1,61,2
125,442334,3,847,23,3,5,5,0,2,0,29,2
662,431824,2,912,50,0,5,1,0,0,0,31,2
133,437868,2,1510,17,3,5,5,0,2,0,38,2
686,433672,3,1853,3,3,2,1,0,0,0,24,2
897,433960,1,1400,51,0,5,3,14,2,0,52,2
897,433960,1,1400,51,0,5,3,14,2,0,56,2
704,431344,2,1520,51,0,5,1,0,1,0,63,1
1146,435786,3,1850,51,0,1,1,0,0,0,27,2
1030,430345,3,954,51,0,2,1,0,0,1,24,2
1030,430345,3,954,51,0,2,1,0,1,1,41,2
1030,430345,3,954,51,0,2,1,0,1,1,21,2
1030,430345,3,954,51,0,2,1,0,1,1,27,2
423,437205,2,745,25,3,5,0,11,0,0,34,1
1419,436472,2,1300,51,0,5,1,9,0,1,20,2
1419,436472,2,1300,51,0,5,1,4,0,1,59,1
221,427642,2,1145,18,3,5,0,0,2,0,18,2
221,427642,2,1145,18,3,5,0,0,0,0,82,2
571,433002,2,2040,16,0,2,1,0,0,0,52,2
147,439311,2,640,51,0,1,1,0,0,1,25,1
147,439311,2,640,51,0,1,1,0,0,1,39,2
134,437858,2,710,17,0,1,1,11,0,1,49,2
222,434437,2,820,22,3,5,1,11,0,0,50,2
327,435960,2,815,17,0,5,1,11,0,1,32,2
787,437438,2,1125,51,0,5,1,0,0,1,80,1
1349,428429,2,1205,51,3,5,5,11,0,1,10,2
1449,435675,2,1500,51,0,5,1,0,0,0,49,2
1068,435358,1,1845,51,3,2,1,0,1,1,30,2
498,433188,1,715,51,3,1,1,0,1,0,13,2
862,436769,2,854,51,1,5,1,0,2,1,1,2
969,434504,2,925,5,3,5,1,0,0,0,47,2
950,439034,2,1710,5,0,2,1,0,0,0,46,2
1493,434550,2,1750,51,3,0,1,0,0,1,84,2
1493,434550,2,1750,51,3,0,1,13,0,1,29,2
523,431564,2,2115,50,3,2,1,0,0,0,26,2
523,431564,2,2115,50,3,2,1,0,0,0,21,2
1454,431960,1,10,51,1,0,1,0,0,1,21,2
44,445698,1,1103,51,3,2,1,0,1,0,75,2
535,432525,2,1515,2,0,5,1,11,0,1,16,2
909,437103,2,1817,51,0,1,1,11,0,1,18,2
1132,435107,2,2120,51,0,2,1,0,0,1,32,2
1132,435107,2,2120,51,0,2,1,0,0,1,27,2
1132,435107,2,2120,51,0,2,1,0,2,1,28,2
1251,434337,2,9,43,3,2,1,15,2,1,36,2
612,440134,3,1230,51,3,5,1,0,0,1,87,2
612,440134,3,1230,51,3,5,1,0,2,0,86,1
809,438567,2,1308,42,3,5,1,11,0,1,31,2
532,434078,5,1400,17,3,5,1,0,0,1,62,1
532,434078,5,1400,17,3,5,1,0,0,1,51,2
532,434078,5,1400,17,3,5,1,0,2,0,49,2
532,434078,5,1400,17,3,5,1,0,0,1,42,2
532,434078,5,1400,17,3,5,1,0,0,0,63,2
532,434078,5,1400,17,3,5,1,0,0,1,26,2
1558,438278,2,1800,0,3,2,1,0,0,0,57,2
1558,438278,2,1800,0,3,2,1,0,0,0,30,2
911,434358,2,1917,51,3,2,5,0,0,1,30,2
302,435509,2,2100,51,0,1,1,0,0,0,35,2
302,435509,2,2100,51,0,1,1,0,2,1,14,2
1246,429756,1,140,11,3,2,5,0,0,1,30,2
223,434437,2,627,51,3,2,5,11,0,1,52,2
87,428923,2,905,18,3,5,1,9,0,1,19,2
1189,432587,2,1120,5,0,5,1,8,2,1,56,2
1125,430458,1,1605,50,3,2,5,0,0,1,38,2
1554,435492,2,1755,29,3,2,2,0,0,0,52,2
990,432024,2,1815,51,3,2,5,0,0,0,21,2
981,433361,3,1430,51,0,5,1,0,0,1,52,2
981,433361,3,1430,51,0,5,1,0,2,0,51,2
981,433361,3,1430,51,0,5,1,0,2,0,23,2
981,433361,3,1430,51,0,5,1,0,2,1,2,2
442,425512,2,1730,19,3,2,1,0,2,0,45,1
442,425512,2,1730,19,3,2,1,0,0,0,18,2
442,425512,2,1730,19,3,2,1,0,2,1,15,1
442,425512,2,1730,19,3,2,1,0,0,1,46,2
627,432429,2,1715,51,0,2,1,11,0,0,23,2
1459,433169,2,1545,10,0,5,1,0,0,1,28,2
1459,433169,2,1545,10,0,5,1,0,2,0,31,2
1200,436372,1,1758,51,3,2,1,0,1,1,29,2
493,436010,1,1740,25,3,2,1,9,1,1,34,1
1081,431610,2,835,11,0,5,1,9,0,1,18,1
1036,430363,3,901,51,0,5,1,0,0,1,33,2
1036,430363,3,901,51,0,5,1,0,0,0,22,2
1249,435186,1,1700,51,0,2,1,0,1,0,14,2
534,435261,2,1145,51,0,5,1,11,0,1,21,2
978,424389,2,1920,18,0,1,1,0,0,0,46,2
1299,425849,2,745,49,0,2,1,0,0,1,52,2
159,433599,1,1100,51,0,5,1,0,1,1,60,1
508,426346,2,1540,18,0,5,1,0,0,1,50,2
508,426346,2,1540,18,0,5,1,0,2,1,51,2
242,433893,2,1730,51,0,1,1,11,0,1,16,2
707,433938,2,2007,3,3,1,1,15,0,1,24,2
707,433938,2,2007,3,3,1,1,15,2,0,18,2
707,433938,2,2007,3,3,1,1,0,0,0,29,2
1164,434989,1,2015,51,0,2,1,0,1,0,5,2
1164,434989,1,2015,51,0,2,1,0,1,0,37,2
781,433410,2,2020,51,0,2,1,11,0,0,26,2
649,431996,2,2128,51,0,2,1,0,0,1,19,2
141,443102,2,1100,23,3,5,1,0,0,0,84,2
141,443102,2,1100,23,3,5,1,0,0,1,63,2
141,443102,2,1100,23,3,5,1,0,2,0,57,2
1151,430309,2,1224,5,0,5,1,13,0,1,37,2
488,435308,2,1300,51,0,5,1,11,0,1,19,2
189,427904,2,1329,49,0,5,1,0,2,0,41,2
1191,438836,3,1350,51,3,5,1,0,0,1,18,2
1191,438836,3,1350,51,3,5,1,0,2,0,19,2
1191,438836,3,1350,51,3,5,1,0,0,0,22,2
670,431942,2,1950,51,0,2,1,0,0,1,46,2
818,432605,2,2118,51,0,2,1,11,0,1,19,2
687,433679,2,645,2,3,2,1,0,0,1,33,2
1354,428908,2,1115,51,0,5,1,0,1,1,13,1
1322,434278,2,1530,51,0,5,1,11,0,1,30,2
438,434591,2,1630,17,0,5,1,9,0,1,23,2
1152,435835,3,1903,51,3,2,1,0,0,0,26,2
1152,435835,3,1903,51,3,2,1,0,2,0,24,2
1152,435835,3,1903,51,3,2,1,0,2,1,20,2
1290,435155,2,2030,51,0,2,1,0,2,0,34,2
75,445002,2,1845,25,0,1,1,11,0,1,47,2
541,428758,2,1700,51,3,1,1,0,2,0,29,2
1008,435826,1,901,51,0,5,1,0,1,0,40,2
421,434684,2,1205,17,0,5,1,11,0,0,42,2
447,430960,1,1608,50,3,5,1,0,0,0,26,2
1432,436164,2,1640,51,3,2,1,9,0,1,27,2
279,433062,2,128,51,1,2,1,0,0,1,17,1
880,433052,1,955,51,0,5,1,0,1,1,52,1
837,431583,2,1125,19,3,5,1,9,0,1,57,2
923,430623,2,1147,50,0,5,1,0,0,0,77,2
1149,432600,1,1200,51,0,5,1,0,1,1,12,2
1339,428101,1,1500,20,3,5,1,0,1,1,78,1
326,442454,1,1754,25,0,1,1,11,0,1,43,2
1071,435014,1,953,51,0,5,1,13,1,1,26,1
192,428212,2,1232,18,0,5,1,0,0,1,45,2
743,433796,2,1716,51,0,2,1,11,0,1,54,2
1256,435044,2,1845,51,0,2,1,0,0,0,34,2
913,431577,2,735,50,0,5,1,0,0,0,36,2
913,431577,2,735,50,0,5,1,6,0,1,34,2
913,431577,2,735,50,0,5,1,6,2,0,22,2
1496,446862,2,1010,1,3,5,1,0,0,0,21,1
1472,440696,2,1855,51,0,2,1,9,0,1,20,1
105,428201,3,1900,18,3,2,1,0,0,1,27,2
105,428201,3,1900,18,3,2,1,0,0,0,17,2
873,431181,1,2200,51,3,2,5,0,1,0,19,2
411,434752,2,200,17,3,2,1,0,0,1,67,2
411,434752,2,200,17,3,2,1,15,2,1,18,2
411,434752,2,200,17,3,2,1,15,2,1,25,2
411,434752,2,200,17,3,2,1,15,2,1,24,2
1259,426259,1,725,35,0,1,1,0,1,1,32,2
558,433200,2,1510,16,0,5,1,0,0,0,36,2
1024,431334,2,1445,51,0,2,1,4,0,1,23,1
190,435969,2,1045,51,3,5,1,11,0,1,41,1
963,438592,2,1730,5,3,2,5,0,0,1,49,2
1149,428020,2,705,49,3,2,5,0,0,1,35,2
1169,435965,2,846,51,3,5,1,11,0,1,30,2
1443,433662,2,1146,9,0,5,1,0,0,1,66,2
834,433239,2,1329,51,3,5,1,9,0,1,55,2
1273,436159,2,1510,2,0,5,1,0,0,0,66,2
1273,436159,2,1510,2,0,5,1,0,2,0,31,2
41,441796,1,1823,51,0,1,1,0,1,1,13,2
937,438185,2,2144,51,0,2,1,0,0,0,40,2
937,438185,2,2144,51,0,2,1,0,2,0,49,2
510,436724,1,9,51,0,2,1,0,0,1,24,2
231,433155,1,814,6,3,5,5,0,0,1,50,2
1139,430373,2,710,5,3,1,5,0,0,0,59,2
1139,430373,2,710,5,3,1,5,0,0,1,43,2
499,426535,2,1534,19,0,5,1,0,0,0,33,2
1119,435538,2,1915,2,0,2,1,0,0,1,22,2
1157,437046,2,820,51,0,5,1,0,0,0,31,2
1157,437046,2,820,51,0,5,1,0,2,1,6,2
1157,437046,2,820,51,0,5,1,0,2,0,3,2
1332,425867,2,901,49,3,5,1,0,0,1,45,2
1332,425867,2,901,49,3,5,1,0,2,1,67,2
451,436873,2,840,25,0,5,1,11,0,1,28,2
940,436800,1,1200,51,0,5,1,9,1,0,40,1
940,436800,1,1200,51,0,5,1,9,0,1,24,2
1502,432100,2,1230,10,0,5,1,0,0,1,80,2
1502,432100,2,1230,10,0,5,1,0,2,0,78,1
1502,432100,2,1230,10,0,5,1,0,0,0,60,2
1091,432550,2,1315,5,0,5,1,0,0,1,42,2
1507,445753,1,1445,0,0,5,1,0,0,1,59,2
205,439358,3,1011,51,0,5,1,0,0,1,83,2
840,433796,2,1909,51,0,2,1,11,0,1,25,1
497,424375,2,1130,51,0,5,1,0,0,1,30,2
1016,426514,2,1243,48,0,5,1,0,0,0,23,2
847,433763,1,1155,51,0,5,1,14,2,1,65,2
85,434056,2,1615,16,3,5,1,0,0,0,45,2
412,435738,1,1920,51,0,2,1,0,1,0,23,2
272,440393,3,905,51,3,5,1,11,0,1,47,1
598,438559,1,1019,7,3,5,1,0,1,0,43,0
1055,433861,2,1450,51,0,5,1,14,2,0,75,2
489,436032,2,1631,25,0,5,1,1,1,0,19,1
1366,433577,2,1805,43,0,2,1,4,0,1,22,1
736,432562,2,1936,51,3,2,1,13,0,1,52,2
736,432562,2,1936,51,3,2,1,13,2,0,40,2
1302,425846,2,2003,49,0,4,1,0,0,1,27,2
1302,425846,2,2003,49,0,4,1,0,2,1,27,2
1302,425846,2,2003,49,0,4,1,0,2,0,45,2
1302,425846,2,2003,49,0,4,1,0,2,1,5,2
1302,425846,2,2003,49,0,4,1,0,2,0,45,2
1302,425846,2,2003,49,0,4,1,0,2,0,14,2
583,436980,2,2024,51,0,2,1,0,0,1,77,2
583,436980,2,2024,51,0,2,1,0,0,1,26,2
583,436980,2,2024,51,0,2,1,0,2,1,25,2
583,436980,2,2024,51,0,2,1,0,2,1,27,2
310,434125,2,1810,16,3,2,1,4,0,1,30,0
310,434125,2,1810,16,3,2,1,0,0,1,72,2
310,434125,2,1810,16,3,2,1,0,2,0,70,1
1309,436116,2,2000,51,0,2,1,0,0,0,33,2
1309,436116,2,2000,51,0,2,1,0,0,1,55,2
708,433854,2,950,2,0,5,1,0,2,0,43,2
1045,434324,1,1718,51,3,2,5,13,1,0,6,1
1202,434884,2,1430,43,0,5,1,11,0,1,42,2
852,434362,2,1815,51,3,2,5,0,2,0,56,2
494,426242,2,1055,18,0,5,1,0,0,0,84,2
738,431816,2,1450,51,0,5,1,11,0,1,24,2
677,433497,2,1740,51,0,2,1,0,0,1,39,2
783,434337,2,1302,51,0,5,1,11,0,1,19,2
1121,434662,1,1144,51,0,5,1,0,1,0,20,2
363,428772,2,800,15,0,5,1,0,2,0,12,2
363,428772,2,800,15,0,5,1,0,2,0,12,2
248,437864,1,1415,51,0,5,1,0,1,1,21,2
754,432753,1,1730,51,0,2,1,0,1,1,24,2
78,439384,2,1811,17,3,2,1,10,0,1,25,2
8,443325,2,1630,51,0,2,1,0,0,0,47,2
835,433900,2,1900,51,0,2,1,11,0,0,22,2
879,431183,1,1900,51,0,2,1,0,1,0,14,1
1475,426776,1,1500,51,0,5,1,0,1,0,52,2
276,432450,3,2024,51,0,2,1,0,2,1,15,1
652,433534,2,1700,3,0,1,1,0,0,1,55,2
1000,436997,1,1130,51,0,5,1,0,1,0,81,1
657,433048,2,645,51,3,2,5,9,0,1,50,2
786,436617,1,800,51,0,5,1,0,1,0,15,2
960,438714,3,918,51,0,5,1,0,0,1,63,2
428,431207,2,810,51,3,5,1,9,0,1,25,2
1527,427768,2,1429,51,0,5,1,5,0,1,16,2
884,434973,2,2015,51,3,1,1,0,2,0,34,2
884,434973,2,2015,51,3,1,1,0,2,0,26,2
935,426522,3,1450,49,3,5,1,0,0,1,74,2
585,436994,1,1800,42,0,2,1,0,1,1,75,2
585,436994,1,1800,42,0,2,1,0,1,1,59,1
362,429714,2,1854,50,3,2,1,15,0,1,57,2
500,434657,1,1930,51,3,2,1,0,1,1,12,1
808,431295,2,2123,51,3,2,1,11,0,1,19,2
671,438756,4,2038,51,0,2,1,0,0,1,48,2
502,434513,2,1100,51,3,5,1,0,0,0,23,2
768,432296,2,1435,50,3,5,1,0,0,1,31,2
450,433895,3,1728,51,0,2,1,0,0,1,46,2
450,433895,3,1728,51,0,2,1,0,0,0,40,2
140,433585,2,715,51,0,1,1,9,0,1,46,2
140,433585,2,715,51,0,1,1,9,2,0,48,1
512,427777,5,1033,30,3,5,1,0,0,1,32,2
614,436547,1,830,51,0,5,1,14,2,0,72,2
944,433451,1,1331,51,0,5,1,14,2,0,33,2
490,430307,2,1625,6,0,5,1,0,2,0,52,2
1167,439738,2,855,51,0,5,1,0,0,1,24,2
127,427902,2,947,18,0,5,1,0,0,1,55,2
1279,434039,1,1200,12,0,5,1,14,1,1,20,1
1300,429590,2,730,11,3,1,1,0,0,1,30,2
1082,435719,2,1715,51,0,2,1,0,0,0,51,2
943,433338,2,900,51,0,5,1,11,0,1,39,2
251,436012,2,1900,42,3,2,5,0,0,1,49,1
251,436012,2,1900,42,3,2,5,0,2,0,54,1
251,436012,2,1900,42,3,2,5,0,0,1,42,2
126,432162,5,430,51,3,2,4,0,0,1,21,1
126,432162,5,430,51,3,2,4,0,2,0,20,2
451,434540,2,805,17,3,5,2,11,0,0,27,2
462,430880,2,845,6,3,5,5,15,2,0,21,2
1326,432773,1,1438,51,0,5,1,0,1,0,3,2
1233,436882,1,1600,51,0,5,1,0,1,0,39,2
1344,433570,2,2000,43,0,2,1,0,0,1,35,2
921,435259,1,40,51,0,2,1,0,2,1,18,1
894,433809,1,1640,51,0,5,1,14,2,0,35,2
340,435582,2,2056,17,3,2,5,0,2,0,44,2
1390,440373,2,935,2,3,5,1,0,0,1,69,2
1312,434122,2,1300,51,0,5,1,0,2,0,59,2
1451,425628,2,1350,49,0,5,1,0,2,0,16,2
1451,425628,2,1350,49,0,5,1,0,2,1,15,2
1521,431859,2,1855,10,0,2,1,0,0,1,36,2
1521,431859,2,1855,10,0,2,1,0,0,1,49,2
1329,425866,2,2149,49,0,0,1,0,0,1,46,2
1329,425866,2,2149,49,0,0,1,0,2,1,1,1
1329,425866,2,2149,49,0,0,1,0,0,1,55,1
1329,425866,2,2149,49,0,0,1,0,2,0,52,1
1329,425866,2,2149,49,0,0,1,0,2,1,16,1
106,436562,2,1245,51,3,5,3,0,2,0,39,2
95,434915,1,1506,51,3,5,5,0,1,0,13,2
824,433752,1,1629,51,0,5,1,0,1,0,37,2
977,433326,1,1015,5,0,5,1,0,1,1,31,2
1114,428514,2,1515,51,0,5,1,0,0,0,30,2
329,427417,1,1526,51,0,5,1,0,1,1,12,1
230,433158,2,1822,6,0,2,1,11,0,1,45,2
589,433139,2,43,16,3,2,4,0,0,1,26,2
589,433139,2,43,16,3,2,4,0,2,1,20,2
917,432699,2,905,19,0,5,1,11,0,1,17,2
442,435929,2,1730,51,3,2,5,11,0,0,21,2
1373,433602,1,1500,43,0,5,1,0,1,0,11,2
1361,436579,1,900,51,0,5,1,0,1,1,7,2
81,434127,2,1830,16,0,1,1,0,0,0,27,2
50,445124,2,1004,51,0,5,1,11,0,1,72,1
1244,429742,2,1130,11,0,5,1,10,0,1,48,1
959,438444,1,1216,51,0,5,1,0,1,1,71,2
644,431052,2,1430,51,0,5,1,0,0,1,39,2
210,434446,2,1810,51,0,2,1,11,0,1,26,2
364,433498,2,33,51,0,1,1,14,2,1,81,2
109,434242,1,50,51,0,2,1,0,1,0,20,2
889,424224,2,320,48,0,0,1,0,0,1,33,2
889,424224,2,320,48,0,0,1,0,0,1,36,2
889,424224,2,320,48,0,0,1,0,2,0,42,1
437,432594,2,1813,51,3,2,1,11,0,1,56,2
721,430434,2,2320,51,3,2,5,15,0,1,36,2
721,430434,2,2320,51,3,2,5,15,2,1,51,2
721,430434,2,2320,51,3,2,5,15,2,0,46,2
1426,433868,2,4,51,3,3,5,2,1,1,36,1
227,432898,2,1445,39,0,5,1,0,0,1,32,2
42,441799,2,810,51,3,5,5,0,0,0,53,1
853,431982,2,825,50,0,5,1,0,0,0,37,2
180,428058,2,1240,8,3,5,1,0,2,0,65,2
667,426408,2,1425,49,3,5,5,0,0,1,64,2
1142,428200,2,754,48,0,5,1,10,0,1,51,1
1253,427586,2,800,20,0,5,1,0,0,0,35,2
177,430226,1,1425,51,0,5,1,13,1,1,47,1
730,434236,2,1643,3,0,1,1,0,2,1,56,2
850,432871,2,1813,51,0,2,1,11,0,1,23,2
611,434635,2,1630,51,0,5,1,0,0,0,26,2
1213,434874,2,658,51,3,2,5,9,0,1,21,1
7,441398,2,720,51,0,1,1,0,0,1,33,2
7,441398,2,720,51,0,1,1,0,2,0,32,2
118,433356,1,1221,51,0,5,1,0,1,1,66,2
760,427582,1,1246,51,3,5,5,0,1,0,19,1
763,438126,1,1551,51,0,5,1,0,1,0,15,2
1026,437866,2,1626,51,3,5,1,0,0,0,28,2
1026,437866,2,1626,51,3,5,1,0,2,0,58,2
557,437147,1,1815,51,0,2,1,0,1,1,50,2
569,434981,2,1835,51,3,2,5,11,0,1,22,2
548,431349,2,1146,51,0,5,1,0,0,0,54,2
548,431349,2,1146,51,0,5,1,0,0,0,83,2
169,434879,2,1255,51,0,5,1,11,0,1,28,2
73,434447,2,1340,16,0,5,1,0,0,0,25,2
73,434447,2,1340,16,0,5,1,0,2,0,25,2
73,434447,2,1340,16,0,5,1,0,0,0,29,2
1549,433207,2,1836,21,0,1,1,0,0,0,25,2
1549,433207,2,1836,21,0,1,1,0,2,1,27,2
1549,433207,2,1836,21,0,1,1,0,0,1,44,2
1214,434027,2,815,51,0,5,1,11,0,1,16,2
247,434370,2,1030,16,3,5,5,0,0,1,33,2
402,434815,1,1435,17,3,5,5,13,1,0,32,2
1118,435552,1,1900,51,3,2,5,0,1,1,44,2
258,435780,1,1910,51,0,2,1,0,1,1,44,2
114,428745,2,820,51,3,5,1,0,0,0,39,2
616,433371,1,1110,2,0,5,1,14,2,0,2,2
1411,431159,2,2045,48,3,0,5,0,0,0,36,2
1411,431159,2,2045,48,3,0,5,0,2,1,32,2
882,433530,1,910,51,0,5,1,14,2,0,23,2
635,435464,1,1405,25,0,5,1,0,1,1,21,2
211,438418,2,826,51,3,5,1,9,0,1,20,1
406,433521,1,1130,51,0,5,1,0,1,0,48,2
906,433853,2,2015,51,3,2,5,0,0,1,31,2
906,433853,2,2015,51,3,2,5,0,2,1,9,2
906,433853,2,2015,51,3,2,5,0,2,1,7,2
737,433965,1,1312,51,0,5,1,13,1,0,64,2
164,429921,2,1515,2,0,5,1,11,0,1,73,2
1014,433454,1,945,51,0,5,1,14,2,0,80,2
1269,434029,2,1715,43,0,1,1,11,0,0,45,2
480,434081,2,2055,51,0,2,1,0,0,0,35,2
480,434081,2,2055,51,0,2,1,0,0,0,42,2
672,431919,2,817,51,0,5,1,0,0,1,44,2
696,433759,2,1410,2,3,5,5,0,2,1,37,2
1065,435256,1,1700,51,0,1,1,0,1,0,7,2
62,440962,2,1038,51,3,5,1,0,0,0,23,2
1047,434811,2,2207,51,0,2,1,0,0,1,57,2
1047,434811,2,2207,51,0,2,1,0,2,0,22,2
1283,426326,2,853,35,0,5,1,0,0,0,34,2
1283,426326,2,853,35,0,5,1,0,0,1,42,2
1285,425886,2,1535,49,0,5,1,0,0,0,31,2
24,444527,4,1738,51,0,1,1,9,0,1,20,0
1383,436924,2,2015,7,0,2,1,11,0,1,15,1
1093,425103,2,2030,48,0,2,1,0,0,0,24,1
1093,425103,2,2030,48,0,2,1,0,0,1,42,2
430,431237,2,1334,8,0,5,1,0,0,0,36,2
430,431237,2,1334,8,0,5,1,0,2,0,33,2
185,428173,2,1400,8,0,5,1,10,0,1,46,1
408,435265,2,1327,51,0,5,1,0,2,0,67,2
342,433335,2,1440,51,0,5,1,11,0,1,4,2
544,434362,2,1442,51,0,5,1,0,0,1,37,2
870,433081,2,1453,51,0,5,1,10,0,1,56,1
486,436095,1,2322,25,3,2,5,0,1,0,45,2
976,428405,2,1330,51,3,5,5,11,0,1,32,2
989,432299,2,1715,5,0,1,1,0,0,1,26,2
1294,429707,2,2115,48,0,2,1,0,0,1,30,2
690,436087,1,735,51,0,5,1,0,1,0,18,2
228,433156,2,815,51,0,5,1,11,0,1,38,2
586,435650,2,905,25,0,5,1,11,0,0,40,2
1127,433225,1,916,51,0,5,1,0,1,0,73,2
474,434406,2,1145,51,0,5,1,0,2,0,69,2
1046,433707,1,1740,51,0,1,1,14,2,1,6,2
1544,430929,2,714,21,0,1,1,8,0,1,42,2
1307,435844,1,1015,51,0,5,1,14,2,0,89,2
330,433076,2,800,51,0,5,1,9,0,1,51,2
252,438930,3,1900,51,0,2,1,0,0,0,31,2
1061,433679,1,1950,12,0,2,1,0,1,1,27,2
811,428088,2,1610,51,0,5,1,0,0,0,36,2
746,437762,2,820,51,0,5,1,11,0,1,40,2
529,429560,1,1815,19,3,2,5,0,1,1,16,1
481,435714,2,1745,51,3,1,4,11,0,1,21,2
577,434562,2,2300,51,0,2,1,11,0,1,48,2
174,434259,2,37,51,0,1,1,0,0,1,36,2
